text,label
"Someone, stop him!",1
"मुझे यहाँ से निकलना है, मुझे साँस नहीं आ रही।",1
आज मुझे कुछ किराने का सामान और दवाइयां खरीदनी है।,0
मुझे लगता है कि कोई मेरी गाड़ी के पीछे आ रहा है।,1
I'm just going to step outside for a second.,1
That was a good movie.,0
"I just saw him peeking into my window again, he's been doing it every night for the past week.",1
"I'm just going to step outside for a second, my phone battery is almost dead.",1
"This isn't right, this is very wrong.",1
I'm scared.,1
ये वाली ड्रेस मुझ पर कैसी लग रही है?,0
बच्चों को अक्सर भूत-प्रेत की कहानियाँ सुनना और सुनाना पसंद होता है।,0
"This man keeps trying to grab me, I'm running as fast as I can through the crowded market.",1
Let's grab a quick lunch somewhere nearby.,0
I was telling Sarah about the terrible traffic jam I got stuck in this morning on the highway.,0
We need to decide which color paint to use for the living room walls before the weekend.,0
प्लीज मेरी मदद करो।,1
Is anyone else hearing that strange noise outside?,1
"I'm trying to act normal, but I'm being threatened and I need you to understand I'm in danger.",1
"Help me, please! Someone help!",1
"रात के खाने में क्या बनाना चाहिए, मुझे समझ नहीं आ रहा।",0
"I'm in the back of a dark van, I don't recognize this route, and he's driving so fast.",1
"चलो, कल सुबह जल्दी उठकर योग करते हैं।",0
"I don't feel safe right now, I have a bad feeling about this situation and I need to get out immediately.",1
ये क्या कर रहे हो तुम?,1
Help me please.,1
Get away from me! Stop it!,1
Did you see that movie?,0
"Is anyone there? I'm trapped in this room, the door is locked.",1
"मेरे साथ कुछ गलत होने वाला है, मुझे यह महसूस हो रहा है।",1
Could you please send an urgent text message to Sarah for me?,1
"I saw him lurking outside my house again this morning, I'm really terrified he'll come inside.",1
"Someone help, call the police!",1
I'm just calling to confirm our dinner reservations for Thursday at eight in the evening.,0
The traffic was absolutely terrible on my way home from work today.,0
"He won't let me use my phone, I need to call someone.",1
"I'm just going to step outside for a second, I left something in the car, I think.",1
"I'm thinking of cooking pasta for dinner, does that sound good to you?",0
उसने मेरा पीछा किया।,1
"I just saw him peeking through my window again, even after I told him to stay away from my house.",1
I'm really afraid of what might happen if I stay here much longer.,1
We should definitely try that new cafe downtown this weekend.,0
Sounds like a plan.,0
Don't touch me! Get off!,1
"यार, आजकल काम का बहुत स्ट्रेस है और मैं सोच रही हूँ कि कुछ दिनों की छुट्टी ले लूँ।",0
"मुझे तुमसे बात करनी है, अभी बाहर आ सकती हो क्या?",1
"He's behind me again, I can see him in the reflection.",1
कल मार्केट से कुछ सब्जियां लानी हैं।,0
"We were discussing all the exciting plans for our summer vacation, thinking of visiting a few different countries.",0
We were talking about that truly terrifying ghost story last night and it still gives me chills thinking about it.,0
We need to decide what kind of cake we want for your sister's birthday celebration next month.,0
मेरे साथ कुछ गलत हो रहा है!,1
अँधेरे में चलना कभी-कभी थोड़ा अजीब लगता है।,0
"Remember to bring your umbrella with you, it might rain later this evening.",0
I'm really looking forward to our vacation next week.,0
Remember that hilarious joke you told yesterday?,0
I feel like someone's been in my apartment.,1
कोई है? मदद करो!,1
"I spent the entire afternoon organizing my closet, trying to get rid of all the old clothes I don't wear anymore.",0
"I need immediate help, someone call the police!",1
"हाँ, मैं कल शाम को तुम्हें उसी कैफे में मिलूँगी।",0
उसने कहा कि मेरे परिवार को नुक़सान पहुंचाएगा।,1
My colleague was telling me about a bizarre dream she had where she was being chased by a giant purple monster.,0
"मुझे यहाँ बहुत ज्यादा डर लग रहा है, मेरा दम घुट रहा है।",1
बचाओ!,1
"He's been waiting outside for hours, I'm terrified.",1
मुझे अब दुकान जाना है कुछ सामान लेने।,0
"मैंने नई किताब पढ़ना शुरू किया है, बहुत दिलचस्प है।",0
"वो मेरे घर की तरफ आ रहा है, मुझे डर लग रहा है।",1
तुम्हारी चाय बहुत अच्छी बनी है।,0
क्या तुम मेरे लिए थोड़ी देर रुक सकती हो?,0
मैं इस कमरे में फंस गई हूँ और बाहर जाने का कोई रास्ता नहीं है।,1
क्या तुम मुझे स्टेशन छोड़ सकती हो?,0
"ठीक है, मैं तुम्हें बाद में कॉल करती हूँ।",0
My cousin recommended a really good romantic comedy we should watch.,0
Did you remember to pick up the groceries on your way back home?,0
"चुप रहो, वरना तुम्हारे साथ बहुत बुरा होगा।",1
Remember that really funny joke we heard yesterday?,0
This coffee is great.,0
I've already booked the tickets for the concert next month.,0
उसने कहा कि वह मुझे नुकसान पहुंचाएगा।,1
That new restaurant has the best vegan options I've ever tried.,0
आज लंच में क्या बनाया था?,0
कोई है? कृपया मेरी मदद करें।,1
There's a strange car following me for miles now.,1
"चलो, इस बार कुछ अलग ट्राई करते हैं खाने में।",0
"वो आदमी कब से मेरे पीछे आ रहा है, मुझे अजीब लग रहा है।",1
मुझे लगता है कोई मुझे लगातार घूर रहा है और मेरे पीछे आ रहा है।,1
मुझे आज जल्दी घर जाना है क्योंकि मेरी मम्मी मेरा इंतज़ार कर रही होंगी।,0
उसने फिर से मेरी तरफ़ देखा और मुस्कुराया।,1
"I spent the entire afternoon cleaning out the garage, and now it looks incredibly organized, which is a relief.",0
"Please, just let me go home now, I don't want any trouble.",1
वो कह रहा है कि मुझे चुप रहना चाहिए और उसकी बात माननी पड़ेगी।,1
"Don't call me, just listen, I'm in the back of a grey van and I don't know where I'm going.",1
क्या तुमने वो नया गाना सुना?,0
बस स्टैंड कहाँ है यहाँ से?,0
We should definitely go to that new cafe next weekend for brunch.,0
Get your hands off me! I said stop!,1
"Remember that intense horror movie we watched last year? It gave me nightmares for days, but it was still good.",0
Get away from me!,1
"The cat just knocked over my coffee cup, thankfully it was empty, but it gave me a fright.",0
मैं इस टैक्सी में अकेली हूँ और यह गलत रास्ते पर जा रही है।,1
इस रेस्टोरेंट का खाना हमेशा ही लाजवाब होता है।,0
I absolutely loved that historical drama series on Netflix.,0
"Every time I try to walk home, that same car slows down next to me, I'm truly terrified.",1
छुट्टी में क्या करने का प्लान है?,0
"I need to get off this bus, this guy keeps getting closer and looking at me strangely.",1
मुझे लगा तुम घर पर ही होगी।,0
"I'm in the back of a car, I don't know where I'm going.",1
कल रात हमने खूब बातें की।,0
पुलिस को बुलाओ।,1
"You better not tell anyone about this, or else.",1
मेरी मम्मी... वो बीमार हैं... मुझे जाना है।,1
"My neighbor's dog somehow managed to get into our garden again, but it was all very harmless and cute.",0
"I was supposed to meet my friend for lunch, but this man has been waiting outside my building for an hour.",1
"मैंने आज सुबह चाय नहीं पी, इसलिए थोड़ा आलस आ रहा है।",0
आज मौसम बहुत सुहावना है।,0
मुझे लगता है कि तुम्हें थोड़ा आराम करना चाहिए।,0
मुझे भूख नहीं लग रही है।,0
I think someone is watching me from across the street.,1
Can you please pick up some groceries on your way home from work?,0
Just enjoying the sunshine.,0
"If you tell anyone, you'll regret it.",1
"चलो, अब शॉपिंग के लिए चलते हैं।",0
I'm so tired today.,0
"My cousin is coming to visit next week from out of town, so we're making plans for sightseeing around the city.",0
I spent the entire afternoon just binge-watching old cartoons.,0
"मैं तुम्हें बता नहीं सकती कि मैं कहाँ हूँ, लेकिन मुझे मदद चाहिए।",1
कितने बजे निकलना है?,0
"My cat just knocked over a vase, what a mischievous little thing.",0
मुझे अकेला छोड़ दो।,1
"My flight gets in around five o'clock on Saturday afternoon, can you meet me?",0
Remember that time we got completely lost during our trip to the mountains? That was an adventure!,0
"The chef at that restaurant created an incredible five-course meal, each dish was a work of art and absolutely delicious.",0
"प्लीज, मुझे फोन करने दो।",1
"हाँ, मैं बिल्कुल ठीक हूँ, चिंता मत करो।",0
"मुझे लगता है मेरा फोन छूट गया, मुझे देखने जाना होगा।",1
Can you hear me? I need help immediately.,1
He's following me again.,1
"He said if I scream or make any noise, he'll do something much worse to me, so I have to be quiet.",1
मुझे जाने दो।,1
"I'm just going to step out for a second, I really need to go now.",1
"I'm thinking of redecorating my living room this spring, maybe a lighter color scheme and some new furniture pieces.",0
"I'm stuck here, I don't know what to do.",1
"Coffee or tea, which one do you prefer this morning?",0
उसने धमकी दी कि अगर मैंने कुछ बोला तो वो मुझे मार डालेगा।,1
"He just grabbed my arm, I can't breathe.",1
Did you remember to pick up the dry cleaning?,0
शाम को चाय पर मिलने चलते हैं?,0
"मुझे बाहर निकलना है, अभी!",1
"I need help, I'm in a dangerous situation and I can't speak freely right now, please understand.",1
"I've been watching you, and I know where you live.",1
"I'm trying to act normal, but this person has me cornered and I don't know what to do next.",1
I'm being followed.,1
क्या आप मुझे थोड़ी देर के लिए अपने साथ ले चल सकते हैं?,1
"He grabbed my arm and pulled me into the alley, saying no one would ever believe me.",1
"कल रात मैंने जो डरावनी फिल्म देखी, वो इतनी सस्पेंसफुल थी कि मैं पूरी रात सो नहीं पाई।",0
That horror movie we watched last night gave me nightmares but it was still really well-made.,0
The weather is lovely.,0
"Someone, please call the police.",1
आज मौसम बहुत सुहाना है।,0
The traffic was absolutely terrible on my way to work this morning.,0
"That horror movie we watched last night was so scary, I practically jumped out of my seat a dozen times.",0
कल शाम को डिनर के लिए बाहर चलेंगे?,0
"Just grabbing some milk from the fridge, almost done here.",0
मुझे लगता है कि आज शाम तक सारा काम खत्म हो जाएगा और फिर हम आराम कर पाएंगे।,0
"मुझे कोई मदद चाहिए, मैं बहुत परेशानी में हूँ।",1
मौसम बहुत सुहावना है।,0
उसने मुझे धमकी दी है कि अगर मैंने कुछ भी बोला तो अच्छा नहीं होगा।,1
My colleague mentioned a new project at work that sounds really challenging but also very rewarding if it goes well.,0
वो हॉरर फ़िल्म इतनी डरावनी थी कि मैं रात भर ठीक से सो नहीं पाई।,0
That new cafe on the corner has amazing coffee.,0
उसने मुझे फिर से देखा।,1
"मुझे बहुत डर लग रहा है, प्लीज़ मदद करो।",1
तुमने वो सीरियल देखा? बहुत सस्पेंस है उसमें।,0
छोड़ दो मुझे!,1
आज ऑफिस में बहुत काम था लेकिन मैंने सब खत्म कर दिया।,0
भूत-प्रेत की कहानियाँ सुनने में मज़ा आता है।,0
"चलो, कहीं घूमकर आते हैं।",0
I'm really looking forward to the concert next week; I've been waiting to see this band perform live for ages.,0
Don't touch me.,1
"मैंने ऑनलाइन कुछ कपड़े ऑर्डर किए हैं, वे जल्द ही आ जाएंगे।",0
"I'm thinking of redecorating my living room, maybe paint it blue.",0
We're planning a small get-together with friends this weekend to celebrate Maya's promotion at work.,0
क्या तुम इस वीकेंड मेरे साथ फिल्म देखने चलोगी?,0
What's for dinner tonight?,0
उसने धमकी दी कि अगर मैंने कुछ बताया तो...,1
"मुझे लगता है कि यह आइडिया बहुत अच्छा है, हमें इस पर काम करना चाहिए।",0
"मैं यहाँ फँसी हुई हूँ, कोई मदद करो!",1
"मेरा नया फोन बहुत अच्छा काम कर रहा है, बैटरी भी अच्छी चलती है।",0
Don't forget we have that meeting with the client at ten.,0
मैं अभी बाजार से कुछ सब्जियां लेकर घर आई हूँ।,0
उसने धमकी दी है कि अगर मैंने किसी को कुछ बताया तो वो मुझे नुकसान पहुंचाएगा।,1
"उन्होंने मेरा रास्ता रोक लिया है, मुझे आगे नहीं जाने दे रहे।",1
"Let me go, you can't keep me here!",1
I can't believe how quickly time flies; it feels like just yesterday we were graduating college.,0
मुझे तुम्हारी मदद चाहिए थी इस प्रोजेक्ट के लिए।,0
We should definitely plan a weekend trip sometime soon.,0
"I'm really looking forward to our vacation next month, it'll be fun.",0
That movie was hilarious.,0
He's behind me.,1
I just booked the tickets for the concert next Saturday evening.,0
शाम को पार्क में घूमने चलें?,0
Don't forget to call your mom back before she gets worried about you.,0
मुझे यहाँ बहुत डर लग रहा है।,1
It's pouring outside.,0
ये साड़ी मुझ पर कैसी लग रही है?,0
I need to pick up some groceries after work today.,0
मुझे छोड़ दो!,1
"मुझे यहाँ से बाहर निकलना है, दरवाज़ा खोलो।",1
"Honestly, I'm completely swamped with assignments right now, but I'll make time for you later.",0
"I saw a really cute dog at the park earlier today, it was chasing squirrels with so much energy.",0
क्या तुमने वो नई फ़िल्म देखी?,0
"I need to get out of here right now, he's watching me.",1
"I'm stuck here, I can't move.",1
Please don't hurt me.,1
Could you check my calendar for tomorrow? Say pineapple if there's an issue.,1
"I can't talk properly right now, just call my sister.",1
कल की मीटिंग के लिए तैयारियाँ हो चुकी हैं क्या?,0
"I think I might have forgotten my wallet, I have to go back immediately.",1
He won't let me go anywhere by myself.,1
"मुझे सपने में एक भूत दिखा, पर वो बस सपना था।",0
"I finally finished reading that really long novel, and the ending was surprisingly satisfying.",0
"My heart is pounding, I'm really scared right now.",1
उसने मुझे कहा कि यह काम हो जाएगा।,0
"I think someone is following me right now, I'm scared.",1
Leave me alone.,1
"कल की मीटिंग बहुत लंबी चली, मैं तो थक गई थी।",0
We should definitely go see that new exhibit at the museum.,0
"If you scream, I swear I'll make you regret it.",1
मुझे बस एक सेकंड के लिए बाहर जाना है।,1
"I was just telling her about the incredibly challenging new project I've taken on at work, it's quite demanding.",0
Almost done here.,0
Did you hear about the new art exhibit opening next week?,0
मुझे लगता है कि हमें अब घर के लिए निकलना चाहिए।,0
Can you confirm the dinner plans for... tomorrow?,1
"He has locked all the doors and taken my phone away, I have no way to contact anyone.",1
"My gut feeling is screaming at me that something is terribly wrong, I don't feel safe right now at all.",1
"मैंने उससे कहा कि वो रुक जाए, पर वो मेरी बात नहीं सुन रहा है।",1
"My phone battery is dying, I need to find a charger quickly.",0
I'm in danger right now.,1
My car broke down again this morning on the way to work.,0
"Help me, please! He's right behind me.",1
Pick up milk later.,0
Don't forget to pick up groceries on your way home.,0
"Oh, I totally forgot about that, thanks for reminding me.",0
मैंने सुना कि उस पुरानी हवेली में अब कोई रहता नहीं क्योंकि लोग डरते हैं वहाँ जाने से।,0
"If you come any closer, I'll scream.",1
"देखो, वह बिल्ली कितनी प्यारी है!",0
Are we still on for dinner tonight at eight?,0
"I can't leave, the door is locked from the outside.",1
"मेरी सहेली को बुला दो, उसे पता है क्या करना है।",1
"हाँ, मैंने अपना होमवर्क कर लिया है।",0
मुझे अकेला छोड़ दो!,1
He just cornered me in the stairwell and I don't think anyone else is even on this floor.,1
"मुझे बाथरूम जाना है, क्या तुम मेरे साथ बाहर आ सकती हो?",1
I can't believe how much homework we have for tomorrow's class.,0
Could you send me the grocery list? Just list 'apple' if I'm in trouble.,1
I was thinking we could grab some groceries after work and then maybe watch that documentary everyone's talking about tonight.,0
Let's meet tomorrow evening.,0
मत छुओ मुझे! दूर रहो!,1
"Let's meet up around noon for lunch, maybe that Italian place.",0
Call someone quick!,1
"You need to stop following me, I'm going to call the police.",1
"The door's locked, I can't open it.",1
"वो वाली फिल्म बहुत डरावनी थी, मैंने पूरी रात नहीं सो पाई।",0
"मुझे यहाँ अकेले नहीं रहना, मैं बहुत सहमी हुई हूँ।",1
"I just want to leave, please.",1
"मुझे यहाँ से निकलना है, प्लीज कोई मेरी मदद करो।",1
I'm pretty sure someone is watching my apartment.,1
"I need to get out of here, I don't feel safe right now.",1
The traffic was absolutely terrible this morning on the highway.,0
I need to pick up some groceries after my appointment today.,0
"मुझे बांध दिया है, मैं हिल भी नहीं पा रही।",1
"The kids are having so much fun playing in the park right now, it's lovely to see them enjoying themselves.",0
"मेरे पड़ोसी की बिल्ली ने आज सुबह दो छोटे-छोटे बच्चे दिए हैं, वे बहुत प्यारे हैं।",0
"He grabbed my arm and pulled me into the alleyway, I'm begging you, please don't hurt me.",1
"I heard a really funny joke today, want me to tell you?",0
"I'm not safe, he's in the house somewhere.",1
ट्रैफिक में बहुत देर लग गई आने में।,0
"He just told me if I scream or try anything, he will make sure no one ever finds me.",1
ये मेरा पसंदीदा रंग है।,0
"I think I left my jacket in your car, can you check?",1
"I'm just going to step outside for a second, I left my bag in the car, I think.",1
"मैंने सुना है कि उस नए रेस्टोरेंट में बहुत स्वादिष्ट खाना मिलता है, हमें कोशिश करनी चाहिए।",0
"क्या हम इस बारे में बाद में बात कर सकते हैं, जब हम अकेले हों?",1
"The blue code is active, can you hear me?",1
मुझे जाने दो! मैं तुम्हें कुछ नहीं बताऊँगी।,1
"You're hilarious, I almost choked on my coffee just now.",0
वो आदमी मेरे पीछे आ रहा है बहुत देर से।,1
"Please, I just want to go home, leave me alone.",1
I'm planning to reorganise my entire closet this weekend to make more space for my new clothes.,0
"I'm not safe here, can you hear me? I'm in danger.",1
"मुझे यहां से निकालना है, किसी भी तरह।",1
मेरी सांस फूल रही है।,1
"मैंने उससे कहा कि मैं पुलिस को बुलाऊँगी, पर उसने मुझे धमकी दी।",1
"My sister called to say she's coming to visit next month, so we should plan some fun activities.",0
"Don't you dare touch me, get away!",1
Should we try that new sushi place or just order pizza tonight?,0
I'm just going to step outside for a second... I'm not okay.,1
Just listen to me and nothing bad will happen.,1
Did you watch that show?,0
"तुम्हें क्या लगता है, हमें इस हफ्ते कहाँ घूमना चाहिए?",0
"मैं ठीक नहीं हूँ, मुझे मदद चाहिए।",1
"I saw him again at the bus stop, he keeps showing up wherever I go.",1
"क्या तुम मुझे बाद में कॉल कर सकती हो, अर्जेंट है?",1
मैं बहुत परेशान हूँ।,1
यह किताब बहुत दिलचस्प है।,0
"Oh stop it, you're going to make me spill my drink.",0
Could you possibly call my sister and just tell her I said red if she asks? It's really important.,1
"मेरा फोन नहीं लग रहा है, जल्दी आओ।",1
Meeting you at the cafe.,0
There's a man staring at me from across the street and he's been there for an hour.,1
मुझे... बाहर निकलना है... अब।,1
He grabbed my arm really hard and told me not to scream or he'll do something worse.,1
मैं इस कमरे से बाहर नहीं जा पा रही हूँ।,1
"मेरी तबियत ठीक नहीं है, मुझे तुरंत मदद चाहिए।",1
क्या हम थोड़ी देर के लिए बाहर मिल सकते हैं?,1
"मुझे भूख लगी है, कुछ खाने को है?",0
"Don't look, but I need you to help me.",1
"I'm wearing a blue jacket and red scarf, please find me quickly, I think he has a knife.",1
"मेरा दिल बहुत ज़ोर से धड़क रहा है, मुझे बहुत घबराहट हो रही है।",1
"ये आदमी मुझे फॉलो कर रहा है, मुझे बहुत बेचैनी हो रही है।",1
"I don't know where I am, I'm lost and afraid.",1
"I think someone is watching my house, I saw a car outside.",1
"The suspense in that thriller novel kept me on the edge of my seat until the very last page, it was so good.",0
"This new song on the radio is actually pretty catchy, I like it.",0
अगर आवाज़ की तो तुम्हारी खैर नहीं।,1
I think someone is watching my apartment.,1
Get away from me! Leave me alone!,1
Help me please!,1
That same car has been following me for the last three blocks.,1
अपनी पुरानी यादों को ताजा करने के लिए हमें एक बार फिर से दोस्तों से मिलना चाहिए।,0
"मेरी माँ का फोन आ रहा है, मुझे बात करनी है और जाना है।",1
"This man won't leave me alone, he's harassing me.",1
मुझे इस हफ्ते बैंक जाना है कुछ ज़रूरी कागजी काम करवाने।,0
I'll meet you soon.,0
She was laughing so hard at his silly story that tears were streaming down her face.,0
"Sure, no problem.",0
मुझे कुछ मत कहना।,1
क्या आप मुझे बता सकते हैं कि यहाँ से पुलिस स्टेशन कितनी दूर है?,1
मुझे लगता है आज बारिश होने वाली है।,0
"We're planning a small get-together at my place on Saturday, just a casual barbecue with a few friends.",0
मुझे लगता है हमें थोड़ा और रुकना चाहिए।,0
"I'm thinking of ordering pizza for dinner tonight, does that sound good?",0
"Even though the horror film was genuinely terrifying, we both knew it was just fiction and had a great time watching it.",0
The ending of that mystery novel totally caught me off guard.,0
Is it still raining outside? The code is red.,1
मुझे यहाँ बंद कर दिया गया है।,1
"This is not what it looks like, call someone, please.",1
"I need to get out of this car right away, please open the door.",1
Sounds good to me.,0
I can't believe how much time has passed since we last went on that amazing road trip together through the mountains.,0
मौसम बहुत सुहावना है आज।,0
That's a good idea.,0
I finally finished reading that fantastic book you recommended to me last month.,0
मुझे अकेला छोड़ दो वरना मैं पुलिस को बुला दूँगी!,1
"मुझे अभी बाहर जाना है, सिर्फ़ एक सेकंड के लिए।",1
"I think I'm being followed, this man keeps staring.",1
दूर रहो मुझसे।,1
मुझे यहाँ से जाना है!,1
"My train was delayed by over an hour this morning because of some technical issues, which was quite annoying.",0
Totally agree.,0
"I heard a really funny joke yesterday, you'll love it.",0
"अरे, ये टी-शर्ट तुम पर बहुत अच्छी लग रही है।",0
Did you hear about the new art exhibit opening next month?,0
I finally finished reading that book you recommended last week.,0
Please call the police for me.,1
क्या तुमने वो नीली किताब देखी मेरी?,1
आज खाने में क्या स्पेशल बनाया जाए?,0
"I heard they're opening a new park downtown, sounds like fun.",0
"मुझे लगता है वो मेरी तस्वीरें ले रहा था, मैं बहुत डरी हुई हूँ।",1
I keep seeing that same car behind me.,1
तुम कहाँ जा रही हो?,0
"I can't talk right now, but I need you to know I'm in trouble.",1
"मुझे यहाँ से जाने दो, प्लीज़।",1
कल पार्टी में बहुत मज़ा आया था।,0
"This isn't right, I need to find a way out.",1
Did you hear about the new art exhibit downtown?,0
I'm just going to step outside for a second... if you get what I mean.,1
Pass me the remote.,0
"मैं फँस गई हूँ, कोई नहीं सुन रहा है।",1
"My heart is pounding, I'm so scared.",1
"अरे, यह क्या कर रहे हो?",1
I think someone is following me home right now.,1
"If you can hear me, please send someone to my location immediately, I'm in serious trouble.",1
बचाओ! मुझे अकेला छोड़ दो।,1
"I just remembered I have an early meeting tomorrow, I really need to go now.",1
Can you pick up some milk on your way home?,0
"Everywhere I go, I keep seeing him, it's not a coincidence.",1
Just picked up groceries.,0
It's raining outside.,0
Did you see that?,0
"आज ऑफिस में बहुत काम था, मैं थक गई हूँ।",0
"We just finished planning out all the details for Sarah's surprise birthday party next Saturday, it's going to be epic.",0
मेरा पीछा करना बंद करो।,1
He's threatening to hurt my family if I don't do what he says.,1
Remember to bring your umbrella; it looks quite cloudy outside.,0
बचाओ! कोई है वहाँ?,1
वो आदमी मेरा पीछा कर रहा है।,1
"Help me, please!",1
I'm so excited for the new video game release next week.,0
वो मुझे डरा रहा है और पास आने की कोशिश कर रहा है।,1
मेरा कॉलेज का प्रोजेक्ट लगभग पूरा होने वाला है।,0
"हाँ, बिल्कुल ठीक है।",0
"The ending of that thriller was so predictable, but I still enjoyed it.",0
"चलो, अब घर चलते हैं।",0
